dep_nom,population,total_feminicide,feminicide_per_100k,Légende
Moselle,1049942,7.0,0.1666758735244423,Moselle : 0.17 pour 100 000 habitants par an
Nièvre,202417,1.0,0.12350741291492315,Nièvre : 0.12 pour 100 000 habitants par an
Nord,2611293,22.0,0.2106236259201859,Nord : 0.21 pour 100 000 habitants par an
Oise,828838,2.0,0.06032541944264138,Oise : 0.06 pour 100 000 habitants par an
Orne,276973,2.0,0.18052301126824635,Orne : 0.18 pour 100 000 habitants par an
Paris,2133111,23.0,0.2695593431377926,Paris : 0.27 pour 100 000 habitants par an
Pas-de-Calais,1461441,10.0,0.1710640388493275,Pas-de-Calais : 0.17 pour 100 000 habitants par an
Puy-de-Dôme,662285,2.0,0.0754961987663921,Puy-de-Dôme : 0.08 pour 100 000 habitants par an
Pyrénées-Atlantiques,692723,4.0,0.14435784577673905,Pyrénées-Atlantiques : 0.14 pour 100 000 habitants par an
Pyrénées-Orientales,487307,4.0,0.2052094470221031,Pyrénées-Orientales : 0.21 pour 100 000 habitants par an
Rhône,1883177,17.0,0.22568245045473684,Rhône : 0.23 pour 100 000 habitants par an
Sarthe,566058,8.0,0.35332068445282994,Sarthe : 0.35 pour 100 000 habitants par an
Savoie,442468,3.0,0.1695037833244438,Savoie : 0.17 pour 100 000 habitants par an
Saône-et-Loire,549288,7.0,0.31859425292378496,Saône-et-Loire : 0.32 pour 100 000 habitants par an
Seine-Maritime,1255918,10.0,0.19905758178479807,Seine-Maritime : 0.20 pour 100 000 habitants par an
Seine-Saint-Denis,1668670,18.0,0.26967584962874624,Seine-Saint-Denis : 0.27 pour 100 000 habitants par an
Seine-et-Marne,1438100,7.0,0.12168833878033516,Seine-et-Marne : 0.12 pour 100 000 habitants par an
Somme,566252,8.0,0.35319963549797617,Somme : 0.35 pour 100 000 habitants par an
Tarn,393572,1.0,0.06352077891719939,Tarn : 0.06 pour 100 000 habitants par an
Tarn-et-Garonne,263377,4.0,0.3796838752055039,Tarn-et-Garonne : 0.38 pour 100 000 habitants par an
Territoire de Belfort,139654,2.0,0.35802769702264164,Territoire de Belfort : 0.36 pour 100 000 habitants par an
Val-d'Oise,1256456,9.0,0.17907511285711555,Val-d'Oise : 0.18 pour 100 000 habitants par an
Val-de-Marne,1415367,7.0,0.12364284316364589,Val-de-Marne : 0.12 pour 100 000 habitants par an
Var,1095337,12.0,0.2738883101730335,Var : 0.27 pour 100 000 habitants par an
Vaucluse,564566,7.0,0.3099726161334547,Vaucluse : 0.31 pour 100 000 habitants par an
Vendée,698727,7.0,0.25045547116398825,Vendée : 0.25 pour 100 000 habitants par an
Vienne,438907,6.0,0.34175804897165,Vienne : 0.34 pour 100 000 habitants par an
Vosges,360673,5.0,0.34657432078364614,Vosges : 0.35 pour 100 000 habitants par an
Yonne,333385,2.0,0.14997675360319151,Yonne : 0.15 pour 100 000 habitants par an
Yvelines,1456365,10.0,0.1716602637388292,Yvelines : 0.17 pour 100 000 habitants par an
